City1,Lat1,Long1,City2,Lat2,Long2,Year,Passenger_Trips,Seats
Bintulu,3.12385,113.02,Kota Kinabalu,5.93721,116.051,2020,2,131400
Ipoh,4.56797,101.092,Johor Bahru,1.64131,103.67,2020,1,65700
Ipoh,4.56797,101.092,Langkawi,6.32973,99.7287,2020,1,67890
Johor Bahru,1.64131,103.67,Miri,4.32201,113.987,2020,1,67890
Johor Bahru,1.64131,103.67,Sibu,2.2616,111.985,2020,3,197100
Johor Bahru,1.64131,103.67,Kota Kinabalu,5.93721,116.051,2020,3,203670
Johor Bahru,1.64131,103.67,Kuching,1.4847,110.347,2020,5,339450
Johor Bahru,1.64131,103.67,Tawau,4.32016,118.128,2020,1,67890
Johor Bahru,1.64131,103.67,Kuala Lumpur,2.74558,101.71,2020,19,1289910
Johor Bahru,1.64131,103.67,Ipoh,4.56797,101.092,2020,1,89060
Johor Bahru,1.64131,103.67,Alor Setar,6.18967,100.398,2020,1,65700
Johor Bahru,1.64131,103.67,Kota Baharu,6.16685,102.293,2020,2,131400
Johor Bahru,1.64131,103.67,Penang,5.29714,100.277,2020,7,475230
Johor Bahru,1.64131,103.67,Langkawi,6.32973,99.7287,2020,1,67890
Kota Baharu,6.16685,102.293,Kota Kinabalu,5.93721,116.051,2020,1,65700
Kota Baharu,6.16685,102.293,Kuching,1.4847,110.347,2020,1,65700
Kota Baharu,6.16685,102.293,Johor Bahru,1.64131,103.67,2020,2,135780
Kota Baharu,6.16685,102.293,Kuala Lumpur,2.74558,101.71,2020,10,657000
Kuching,1.4847,110.347,Kuala Lumpur,2.74558,101.71,2020,27,1773900
Kuching,1.4847,110.347,Johor Bahru,1.64131,103.67,2020,5,339450
Kuching,1.4847,110.347,Penang,5.29714,100.277,2020,2,131400
Kuching,1.4847,110.347,Kota Baharu,6.16685,102.293,2020,1,67890
Kuching,1.4847,110.347,Bintulu,3.12385,113.02,2020,5,328500
Kuching,1.4847,110.347,Miri,4.32201,113.987,2020,9,591300
Kuching,1.4847,110.347,Kota Kinabalu,5.93721,116.051,2020,5,328500
Kuching,1.4847,110.347,Sibu,2.2616,111.985,2020,5,328500
